prediction;test_price
29.9;30.81
30.25;30.7
30.29;30.49
30.25;30.19
29.87;30.17
29.87;30.88
29.84;30.64
30.24;31.2
30.56;31.33
31.06;31.35
31.34;31.49
31.43;31.61
31.55;30.65
31.39;30.44
30.8;30.17
30.57;30.15
30.4;30.24
30.08;30.37
30.25;29.73
30.47;29.6
29.93;29.49
29.75;28.79
29.68;28.76
29.16;28.61
29.03;29.36
28.77;28.97
29.23;29.14
29.17;30.01
29.35;30.37
29.99;31.05
30.29;30.31
30.72;30.31
30.37;30.52
30.16;30.59
30.28;30.69
30.2;30.5
30.39;30.64
30.31;30.6
30.47;30.95
30.61;31.26
30.79;30.9
30.73;30.44
30.39;29.66
30.14;30.08
29.48;29.82
29.63;29.75
29.75;29.57
29.73;29.65
29.46;29.86
29.56;29.68
29.86;30.3
29.84;30.2
30.25;30.37
30.21;30.91
30.31;30.96
30.75;30.88
31.08;31.27
30.96;31.21
31.2;31.24
31.21;31.12
31.08;30.67
31.05;31.01
30.9;31.06
31.08;31.32
31.01;31.76
31.11;32.21
31.45;32.17
31.95;32.7
32.13;32.36
32.39;32.27
32.26;32.34
32.12;32.5
32.07;33.17
32.26;33.32
32.79;33.19
33.26;33.01
33.21;33.13
33.01;32.18
32.97;33.81
32.42;33.36
33.22;33.07
33.43;33.34
32.9;33.66
32.96;33.15
33.41;33.09
33.38;32.35
33.35;33.02
33.05;32.87
33.28;32.62
33.32;32.7
33.05;33.25
33.01;33.44
33.4;33.67
33.57;33.64
33.63;33.43
33.72;33.11
33.72;33.27
33.47;33.19
33.47;33.62
33.3;33.72
33.57;33.46
33.93;33.51
33.62;33.55
33.54;33.56
33.49;33.8
33.46;34.36
33.54;34.14
33.79;33.94
33.93;33.83
33.84;34.05
33.58;33.94
33.57;33.96
33.43;34.24
33.41;35.3
33.61;36.18
34.37;35.9
35.06;35.72
35.17;35.77
35.09;35.67
35.06;35.47
35.3;35.55
35.08;35.58
35.04;35.67
35.1;35.39
35.16;35.47
34.89;35.98
34.79;36.16
35.23;36.09
35.51;35.71
35.72;35.73
35.55;35.18
35.28;35.19
34.93;36.11
34.77;36.66
35.37;36.67
35.74;36.86
35.9;37.07
36.26;37.29
36.41;39.26
36.65;39.22
38.05;39.31
38.5;39.15
38.61;39.02
38.34;39.57
38.25;39.57
38.56;39.44
38.77;38.62
38.75;38.15
38.19;38.41
37.53;38.89
37.71;39.6
37.96;38.93
38.63;39.2
38.53;39.9
38.61;39.43
38.96;38.95
38.91;39.12
38.81;39.04
38.85;38.45
38.83;38.87
38.68;38.25
39.02;37.68
38.58;36.76
38.02;36.91
37.15;37.33
36.78;37.87
37.0;37.52
37.51;38.25
37.69;38.81
38.15;38.91
38.68;38.5
38.77;38.88
38.58;39.25
38.74;39.02
39.1;38.8
38.98;38.6
38.64;38.42
38.49;38.27
38.35;38.07
38.17;37.81
38.05;37.93
37.81;37.69
37.5;37.76
36.87;37.14
36.89;37.59
36.88;37.3
37.11;37.44
37.13;38.07
37.15;38.27
37.62;37.97
38.14;38.33
37.96;38.55
37.9;38.95
37.83;39.02
38.11;39.18
38.46;39.0
38.73;38.59
38.74;38.65
38.46;38.99
38.38;39.02
38.43;39.76
38.55;37.59
39.13;37.65
37.76;37.59
37.27;37.06
37.14;37.13
36.74;37.5
36.72;37.47
36.99;37.58
37.23;37.27
37.13;37.21
36.85;37.24
36.63;37.11
36.65;37.59
36.75;37.69
37.11;36.58
37.2;36.27
36.44;35.66
35.87;35.67
35.5;35.63
35.35;35.52
35.22;35.65
34.86;34.86
34.8;34.74
34.32;34.94
34.24;34.76
34.4;34.42
34.61;34.44
34.35;34.62
34.12;35.11
34.22;34.69
34.68;34.24
34.51;34.03
34.22;34.47
34.02;34.33
34.15;34.72
34.22;35.35
34.37;35.96
34.87;36.19
35.48;35.83
35.56;35.98
35.25;36.14
35.35;35.51
35.34;35.45
35.02;35.82
34.94;35.84
35.23;35.56
35.24;35.09
35.13;35.8
34.65;35.64
34.93;36.89
34.89;36.81
35.6;36.73
35.88;36.68
35.75;35.78
35.89;35.67
35.31;34.97
34.82;34.81
34.51;33.47
34.29;33.89
